slno,nfamily,n_males,n_females,highest_schooling,n_m_deciders,nfd,village_name,union_name,rings,new_q18,q19,s_w,q07,q08,q18,q20,new_q20,q21,q22,q22a,q23,q24,q25,q26,q26o,q27,q27a,taka_paid,q28,q28o,q29,q30,q31,q31o,q3211,q3212,q3213,q3214,q3215,q3216,q3217,q3218,q3219,q32110,q3221,q3222,q3223,q3224,q3225,q3226,q3227,q3228,q3229,q32210,q3231,q3232,q3233,q3234,q3235,q3236,q3237,q3238,q3239,q32310,q331,q332,q333,q33_9,q34,q34o,comments,q35,q35o,q361,q362,q363,q364,q365,q366,q366o,q36_9,q371,q372,q373,q374,q375,q375o,q37_9,q38,q39,q40,q40a,q41,q42,q43,q44,q44o,q45,q45a,q46,q46o,q47,q48,q49,q49o,q5011,q5012,q5013,q5014,q5015,q5016,q5017,q5018,q5019,q50110,q5021,q5022,q5023,q5024,q5025,q5026,q5027,q5028,q5029,q50210,q5031,q5032,q5033,q5034,q5035,q5036,q5037,q5038,q5039,q50310,q511,q512,q513,q52,q52a,q53,q54,q54a,q55,q56,q56o,q571,q572,q573,q57o,q57_9,q581,q582,q583,q584,q585,q586,q586o,q58_9,q59,q60,q61,q61o,q6211,q6212,q6213,q6214,q6215,q6216,q6217,q6218,q6219,q62110,q6221,q6222,q6223,q6224,q6225,q6226,q6227,q6228,q6229,q62210,q6231,q6232,q6233,q6234,q6235,q6236,q6237,q6238,q6239,q62310,q631,q632,q633,q641,q642,q643,q644,q645,q646,q646o,q651,q652,q653,q654,q655,q656,q656o,q661,q662,q663,q664,q665,q666,q666o,q67,q670,base_bid,base_bid_response,higher_bid,higher_bid_response,lower_bid,lower_bid_response,q71,q72,q73,q74,new_q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q8411,q8412,q8413,q8421,q8422,q8423,q8431,q8432,q8433,q8441,q8442,q8443,q8451,q8452,q8453,q8461,q8462,q8463,q8471,q8472,q8473,q8481,q8482,q8483,q8491,q8492,q8493,q84101,q84102,q84103,q84111,q84112,q84113,q84121,q84122,q84123,q84131,q84132,q84133,q84141,q84142,q84143,q84151,q84152,q84153,q84161,q84162,q84163,q8511,q8512,q8513,q8514,q8515,q8516,q8517,q8521,q8522,q8523,q8524,q8525,q8526,q8527,q8531,q8532,q8533,q8534,q8535,q8536,q8537,q8611,q8612,q8613,q8614,q8615,q8616,q8617,q8621,q8622,q8623,q8624,q8625,q8626,q8627,q8631,q8632,q8633,q8634,q8635,q8636,q8637,q871,q872,q873,q874,q875,q876,q877,q878,q879,q8710,q881,q882,q883,q884,q88o,q891,q892,q893,q894,q895,q896,q89o,q89_9,q901,q902,q911,q912,q921,q922,q931,q932,q933,q934,q935,q936,q937,q938,q939,q9310,q9311,q9312,q9313,q941,q942,q943,q944,q945,q946,q947,q94o,q94_9,q951,q952,q953,q954,q955,q956,q957,q95o,q95_9,q96,q96o,q97,q97o,q98,income,farming_income,nfi,brickwalls,mroof,inc,toilet_now,tage,q38_year,n_users_toilet,same_toilet,emptied,hired_sweeper,taka_paid_hat_xb,taka_paid_hat_se,will_hire_sweeper,by_myself,will_hire_sweeper_hat_xb,will_hire_sweeper_hat_se,check,lowest_hypothetical_wtp,lowest_hypothetical_wtp_hat_xb,lowest_hypothetical_wtp_hat_se,hypothetical_wtp_1,hypothetical_wtp_1_hat_xb,hypothetical_wtp_1_hat_se,next_bid,next_bid_response,highest15,highest610,highest1112,highest13
459,4,1,3,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,mymensingh,yes,5,5,4,2,,1,2,4,3,,2,,,4,,4,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,800,1,1000,0,700,,8,9,7,8,8,9,6,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG,,,,,,,KG,,,,,,,KG,,,,,,,TK,,,,,,,TK,,,,,,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,15,,5,,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,5,,,,,4,Soil,2,,40000,40000,0,1,1,1,512.8205,1,5,,4,1,1,0,303.94586,37.988987,0,1,.82977915,.050031457,1,337,349.84656,7.5274282,337,357.1084,9.3193569,1000,0,1,0,0,0
460,5,2,3,3,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,5,5,5,2,,1,3,6,2,,1,300,300,7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,600,1,700,0,400,,8,7,9,5,5,7,8,1,2,2,30,0,0,1,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,KG,100,20,22,,,100,KG,80,15,24,,,90,KG,,,,,,,TK,20,35,25,,,5,22,34,27,,,4,,TK,,,,,,6,8,9,6,7,8,98,7,6,5,4,1,2,,,,1,2,,4,,,,,15,1,20,2,10,,8,7,9,6,5,7,8,9,5,6,7,8,6,1,0,0,0,1,0,,,,1,,,,5,,,,,4,Soil wall,2,,80000,80000,1,1,1,1,1025.641,1,5,,5,1,1,1,337.18933,26.694086,1,0,.80921459,.040836621,1,337,360.04208,7.3811603,337,373.29666,8.4792976,700,0,0,1,0,0
467,5,2,3,3,1,2,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,4,4,5,2,,1,2,3,3,,2,,,4,,3,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,800,0,1000,,700,1,7,5,7,8,8,7,3,1,2,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG,,,,,,,KG,,,,,,,KG,,,,,,,TK,,,,,,,TK,,,,,,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,2,,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,5,,,,,2,,2,,70000,70000,0,1,0,1,897.43591,1,4,,5,1,1,0,357.77011,36.359741,0,1,.76487154,.050178032,1,337,378.72852,11.010922,337,389.94095,11.675772,700,1,0,1,0,0
468,4,2,2,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,4,4,3,2,,1,2,10,2,,1,300,300,4,,10,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,800,0,1000,,700,0,9,7,8,9,9,9,4,1,2,2,15,0,0,2,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,KG,,,,,,,KG,10,7,3,,,12,KG,,,,,,,TK,,,,,,,TK,20,28,25,,,,TK,,,,,,,6,4,8,4,5,7,9,3,8,2,1,2,3,,,1,2,3,,,,,,5,1,10,1,2,,6,5,3,6,8,4,1,8,2,5,7,9,6,1,0,0,0,0,1,,,,1,,,,,6,,,,4,soil,2,,100000,100000,1,1,1,1,1282.0513,1,4,,3,1,1,1,323.99707,25.048597,1,0,.85154611,.043971367,1,337,353.45291,6.0938959,337,360.06653,6.8255606,700,0,1,0,0,0
471,6,3,3,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,3,3,6,2,,1,1,10,2,,1,300,300,4,,10,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,700,0,800,,600,1,5,4,6,8,8,4,9,1,2,2,14,0,0,2,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,KG,,,,,,,KG,10,5,2,,,15,KG,,,,,,,TK,,,,,,,TK,20,29,26,,,3,TK,,,,,,,4,6,1,9,3,8,5,7,5,2,1,2,3,,,1,2,3,4,,,,,15,1,20,1,10,,9,8,3,4,2,6,4,6,7,6,8,5,2,1,0,0,0,0,0,,,,1,,,,,,,,,4,Soil,2,,90000,90000,1,0,1,1,1153.8462,1,3,,6,1,1,1,275.66742,35.309513,1,0,.8816151,.040399168,1,337,357.29269,14.164431,337,364.71976,13.243335,600,1,1,0,0,0
472,6,2,4,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,mymensingh,yes,3,3,6,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,400,1,600,0,300,,4,6,7,8,8,7,5,1,2,2,35,40,0,2,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,KG,80,40,10,,,40,KG,,,,,,,KG,60,30,7,,,,TK,,,,,,,TK,20,26,18,,,3,TK,20,25,18,,,,7,9,8,8,5,6,7,8,9,5,1,2,3,,,1,2,3,4,,,,,15,1,20,1,10,,8,9,10,9,8,7,7,6,7,8,8,6,7,1,1,0,0,0,0,,,,1,2,,,,,,,,4,Soil,2,,85000,85000,1,0,1,1,1089.7435,1,3,,6,1,0,0,272.32138,35.264721,1,0,.87964535,.040550623,1,337,357.04874,14.280032,337,364.33493,13.375955,600,0,1,0,0,0
474,9,4,5,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,3,3,9,2,,1,1,10,2,,1,300,300,4,,10,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,400,1,600,0,300,,6,5,6,8,8,7,3,1,2,2,0,140,0,2,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,KG,,,,,,,KG,100,50,20,,,40,KG,90,45,20,,,50,TK,,,,,,,TK,20,30,26,,,,TK,20,30,26,,,,9,7,5,2,4,8,5,6,8,3,1,2,3,,,1,2,3,4,,,,,10,1,15,1,5,,7,5,6,5,8,4,2,4,9,6,8,3,4,0,1,0,0,0,1,,,,1,,,,,2,,,,4,soil,2,,90000,90000,1,1,1,1,1153.8462,1,3,,9,1,1,1,349.5119,53.228424,1,0,.90805733,.054720495,1,337,357.30173,12.391003,337,385.32556,12.844575,600,0,1,0,0,0
476,5,2,3,2,1,1,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,4,4,5,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,600,0,700,,400,1,6,6,4,7,7,9,5,1,2,2,21,0,0,2,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG,,,,,,,KG,12,6,3,,,10,KG,,,,,,,TK,,,,,,,TK,18,28,24,,,3,TK,,,,,,,6,5,9,5,4,3,9,8,7,4,1,2,3,,,1,2,3,4,,,,,10,1,15,2,5,,7,8,4,9,7,6,5,3,1,9,2,4,5,1,0,0,0,0,1,,,,1,,,,,6,,,,4,soil,2,,85000,85000,1,1,1,1,1089.7435,1,4,,5,1,0,0,324.42059,28.436445,1,0,.85810101,.040706538,1,337,353.45261,6.6720686,337,364.44974,7.5434866,400,1,1,0,0,0
477,5,3,2,2,1,2,Jatia,Uthura,2,1,1,6.6477275,Bhaluka,Mymensingh,yes,3,3,5,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,700,0,800,,600,0,7,8,7,9,9,9,8,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG,,,,,,,KG,,,,,,,KG,,,,,,,TK,,,,,,,TK,,,,,,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,30,,15,,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,5,,,,,4,soil,2,,80000,80000,0,1,1,1,1025.641,1,3,,5,1,0,0,322.97931,35.050323,1,0,.79584295,.048571531,1,337,359.22766,5.9444966,337,364.94891,6.781569,600,0,1,0,0,0
484,4,1,3,2,0,1,Jatia,Uthura,2,1,1,6.6477275,bhaluka,mymensingh,yes,5,5,4,2,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,400,1,600,0,300,,8,7,9,8,8,7,6,1,2,2,0,70,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,KG,100,40,25,,,100,KG,150,30,20,,,80,KG,,,,,,,TK,22,35,25,,,6,TK,20,33,27,,,5,TK,,,,,,7,8,9,8,7,6,5,8,3,4,6,1,,3,,,1,2,,4,,,,,15,1,20,2,10,,8,9,6,7,9,8,7,6,8,7,9,5,6,0,1,0,0,1,0,,,,,2,,,5,,,,,4,Soil Made,2,,50000,50000,1,1,1,1,641.02563,1,5,,4,1,0,0,310.63788,35.219292,1,0,.83371866,.049961034,1,337,350.33447,7.2189059,337,357.87808,8.9616747,600,0,1,0,0,0
